Year,Player,Strikeouts,Team
1901,Cy Young,158.0,Boston
1902,Rube Waddell,210.0,Philadelphia
1903,Rube Waddell,302.0,Philadelphia
1904,Rube Waddell,349.0,Philadelphia
1905,Rube Waddell,287.0,Philadelphia
1906,Rube Waddell,196.0,Philadelphia
1907,Rube Waddell,232.0,Philadelphia
1908,Ed Walsh,269.0,Chicago
1909,Frank Smith,177.0,Chicago
1910,Walter Johnson,313.0,Washington
1911,Ed Walsh,255.0,Chicago
1912,Walter Johnson,303.0,Washington
1913,Walter Johnson,243.0,Washington
1914,Walter Johnson,225.0,Washington
1915,Walter Johnson,203.0,Washington
1916,Walter Johnson,228.0,Washington
1917,Walter Johnson,188.0,Washington
1918,Walter Johnson,162.0,Washington
1919,Walter Johnson,147.0,Washington
1920,Stan Coveleski,133.0,Cleveland
1921,Walter Johnson,143.0,Washington
1922,Urban Shocker,149.0,St. Louis
1923,Walter Johnson,130.0,Washington
1924,Walter Johnson,158.0,Washington
1925,Lefty Grove,116.0,Philadelphia
1926,Lefty Grove,194.0,Philadelphia
1927,Lefty Grove,174.0,Philadelphia
1928,Lefty Grove,183.0,Philadelphia
1929,Lefty Grove,170.0,Philadelphia
1930,Lefty Grove,209.0,Philadelphia
1931,Lefty Grove,175.0,Philadelphia
1932,Red Ruffing,190.0,New York
1933,Lefty Gomez,163.0,New York
1934,Lefty Gomez,158.0,New York
1935,Tommy Bridges,163.0,Detroit
1936,Tommy Bridges,175.0,Detroit
1937,Lefty Gomez,194.0,New York
1938,Bob Feller,240.0,Cleveland
1939,Bob Feller,246.0,Cleveland
1940,Bob Feller,261.0,Cleveland
1941,Bob Feller,260.0,Cleveland
1942,Tex Hughson,113.0,Boston
1943,Allie Reynolds,151.0,Cleveland
1944,Hal Newhouser,187.0,Detroit
1945,Hal Newhouser,212.0,Detroit
1946,Bob Feller,348.0,Cleveland
1947,Bob Feller,196.0,Cleveland
1948,Bob Feller,164.0,Cleveland
1949,Virgil Trucks,153.0,Detroit
1950,Bob Lemon,170.0,Cleveland
1951,Vic Raschi,164.0,New York
1952,Allie Reynolds,160.0,New York
1953,Billy Pierce,186.0,Chicago
1954,Bob Turley,185.0,Baltimore
1955,Herb Score,245.0,Cleveland
1956,Herb Score,263.0,Cleveland
1957,Early Wynn,184.0,Cleveland
1958,Early Wynn,179.0,Chicago
1959,Jim Bunning,201.0,Detroit
1960,Jim Bunning,201.0,Detroit
1961,Camilo Pascual,221.0,Minnesota
1962,Camilo Pascual,206.0,Minnesota
1963,Camilo Pascual,202.0,Minnesota
1964,Al Downing,217.0,New York
1965,Sam McDowell,325.0,Cleveland
1966,Sam McDowell,225.0,Cleveland
1967,Jim Lonborg,246.0,Boston
1968,Sam McDowell,283.0,Cleveland
1969,Sam McDowell,279.0,Cleveland
1970,Sam McDowell,304.0,Cleveland
1971,Mickey Lolich,308.0,Detroit
1972,Nolan Ryan,329.0,California
1973,Nolan Ryan,383.0,California
1974,Nolan Ryan,367.0,California
1975,Frank Tanana,269.0,California
1976,Nolan Ryan,327.0,California
1977,Nolan Ryan,341.0,California
1978,Nolan Ryan,260.0,California
1979,Nolan Ryan,223.0,California
1980,Len Barker,187.0,Cleveland
1981,Len Barker,127.0,Cleveland
1982,Floyd Bannister,209.0,Seattle
1983,Jack Morris,232.0,Detroit
1984,Mark Langston,204.0,Seattle
1985,Bert Blyleven,206.0,Cleveland
1986,Mark Langston,245.0,Seattle
1987,Mark Langston,262.0,Seattle
1988,Roger Clemens,291.0,Boston
1989,Nolan Ryan,301.0,Texas
1990,Nolan Ryan,232.0,Texas
1991,Roger Clemens,241.0,Boston
1992,Randy Johnson,241.0,Seattle
1993,Randy Johnson,308.0,Seattle
1994,Randy Johnson,204.0,Seattle
1995,Randy Johnson,294.0,Seattle
1996,Roger Clemens,257.0,Boston
1997,Roger Clemens,292.0,Toronto
1998,Roger Clemens,271.0,Toronto
1999,Pedro Martinez,313.0,Boston
2000,Pedro Martinez,284.0,Boston
2001,Hideo Nomo,220.0,Boston
2002,Pedro Martinez,239.0,Boston
2003,Esteban Loaiza,207.0,Chicago
2004,Johan Santana,265.0,Minnesota
2005,Johan Santana,238.0,Minnesota
2006,Johan Santana,245.0,Minnesota
2007,Scott Kazmir,239.0,Tampa Bay
2008,A.J. Burnett,231.0,Toronto
2009,Justin Verlander,269.0,Detroit
2010,Jered Weaver,233.0,Los Angeles
2011,Justin Verlander,250.0,Detroit
2012,Justin Verlander,239.0,Detroit
2013,Yu Darvish,277.0,Texas
2014,David Price,271.0,Detroit
2015,Chris Sale,274.0,Chicago
2016,Justin Verlander,254.0,Detroit
2017,Chris Sale,308.0,Boston
2018,Justin Verlander,290.0,Houston
2019,Gerrit Cole,326.0,Houston
2020,Shane Bieber,122.0,Cleveland
2021,Robbie Ray,248.0,Toronto
2022,Gerrit Cole,257.0,New York
2023,Kevin Gausman,237.0,Toronto
2024,Tarik Skubal,228.0,Detroit
2025,Garrett Crochet,255.0,Boston
